hashed_id,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,pledge,sound_check,sound_check_DO,cave_1,lion_1,potatoes_1,banjo_1,look_left_1,clap_1,sad_1,maple_syrup_1,cats_1,opera_1,dance_1,song_1,window_1,garbage_1,pond_1,yellow_1,attn_check_1,check_task,check_task_DO,AI,gender,gender_4_TEXT,race,race_15_TEXT,education,issues,about,condition,Q_DataPolicyViolations,FL_12_DO,specificcondition_DO,genericcondition_DO,inductiontask_DO
8a3a793916fa,2026-04-20 14:41:44,2026-04-20 14:46:37,IP Address,100,292,True,2026-04-20 14:46:38,R_1oYD9cQC3ONNDP8,anonymous,EN,I consent,"Yes, I will",bird,horse|bird|dog|cow|pig,100,34,12,18,94,33,99,45,66,14,8,49,35,95,57,58,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,None.,Social norms,baseline,NA,FL_24,NA,NA,cats|garbage|cave|sad|clap|banjo|window|pond|maple_syrup|opera|song|attn_check|lion|look_left|yellow|potatoes|dance
61267236cf69,2026-04-20 14:39:07,2026-04-20 14:46:43,IP Address,100,455,True,2026-04-20 14:46:43,R_7oT0EoYSnMZ91Y9,anonymous,EN,I consent,"Yes, I will",bird,dog|pig|horse|cow|bird,90,100,66,2,49,76,14,49,14,5,1,90,1,92,90,23,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book,No,Male,NA,Hispanic or Latino/a,NA,Some college,no,it was fun and interesting,specific,NA,FL_14,hop_puddles|sleep_trees|bounce_ball_head|can_flip_air|dont_like_mud|babies_blankets|dont_like_icecream|draw_stars_knees|chase_shadows|climb_fences|freckles_feet|stripes_hair|like_sing|flap_arms_happy|scared_ladybugs|eat_flowers,NA,lion|clap|garbage|song|cave|dance|maple_syrup|look_left|pond|attn_check|cats|yellow|potatoes|banjo|sad|opera|window
bbb87c772bbb,2026-04-20 14:38:27,2026-04-20 14:46:45,IP Address,100,497,True,2026-04-20 14:46:45,R_3QhX2godfT8O0Km,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|pig|dog|cow,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book,No,Female,NA,Black or African American,NA,"Bachelor's (B.A., B.S.)",N/A,Stereotyping Groups of People,baseline,NA,FL_24,NA,NA,maple_syrup|window|sad|potatoes|clap|song|banjo|opera|garbage|yellow|pond|dance|cats|cave|lion|look_left|attn_check
99b06173c324,2026-04-20 14:39:53,2026-04-20 14:46:45,IP Address,100,411,True,2026-04-20 14:46:46,R_3s4j2EFXxEHTLuJ,anonymous,EN,I consent,"Yes, I will",bird,horse|dog|pig|bird|cow,100,97,52,46,50,95,98,100,98,34,100,98,100,91,100,32,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,No,It was fun,generic,NA,FL_15,NA,sleep_trees|stripes_hair|chase_shadows|bounce_ball_head|freckles_feet|flap_arms_happy|climb_fences|hop_puddles|draw_stars_knees|scared_ladybugs|babies_blankets|like_sing|dont_like_mud|eat_flowers|dont_like_icecream|can_flip_air,look_left|cats|maple_syrup|window|opera|yellow|dance|lion|sad|garbage|pond|attn_check|song|clap|banjo|cave|potatoes
3a3931af6ccd,2026-04-20 14:39:31,2026-04-20 14:46:47,IP Address,100,436,True,2026-04-20 14:46:48,R_1V19NrrWFqqenoR,anonymous,EN,I consent,"Yes, I will",bird,bird|cow|pig|horse|dog,90,50,30,6,50,90,24,68,80,86,90,100,10,90,90,30,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Drawing pictures of people,No,Male,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",N/A,"Group dynamics, does everyone always do all of the same things in a group?",generic,NA,FL_15,NA,scared_ladybugs|stripes_hair|bounce_ball_head|eat_flowers|climb_fences|flap_arms_happy|dont_like_icecream|can_flip_air|chase_shadows|hop_puddles|freckles_feet|draw_stars_knees|like_sing|babies_blankets|sleep_trees|dont_like_mud,banjo|window|potatoes|cats|dance|garbage|clap|look_left|attn_check|song|pond|maple_syrup|lion|sad|cave|yellow|opera
3d0fcfbc3afe,2026-04-20 14:38:49,2026-04-20 14:46:48,IP Address,100,478,True,2026-04-20 14:46:48,R_5kRBZekJZt7ajst,anonymous,EN,I consent,"Yes, I will",bird,pig|horse|bird|cow|dog,3,1,5,10,40,2,10,5,25,40,50,90,5,5,75,5,100,Answering questions about a fictional group of people,Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",None,Our thoughts on behaviors of people groups,specific,NA,FL_14,climb_fences|flap_arms_happy|like_sing|can_flip_air|hop_puddles|sleep_trees|scared_ladybugs|bounce_ball_head|eat_flowers|dont_like_mud|draw_stars_knees|dont_like_icecream|chase_shadows|stripes_hair|babies_blankets|freckles_feet,NA,potatoes|attn_check|cave|maple_syrup|lion|banjo|cats|window|dance|pond|yellow|garbage|opera|sad|clap|song|look_left
2843bc68ad2e,2026-04-20 14:40:33,2026-04-20 14:46:50,IP Address,100,376,True,2026-04-20 14:46:50,R_3XqVmUi7ZhwI3OF,anonymous,EN,I consent,"Yes, I will",bird,pig|bird|cow|dog|horse,20,5,25,10,50,10,25,20,15,25,40,10,3,3,25,3,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,"none, went well",stereotypes?,baseline,NA,FL_24,NA,NA,song|lion|clap|cats|banjo|garbage|dance|sad|pond|maple_syrup|attn_check|yellow|window|potatoes|look_left|cave|opera
ac7c6701044f,2026-04-20 14:37:40,2026-04-20 14:46:53,IP Address,100,552,True,2026-04-20 14:46:53,R_6FJt48UAd7m4BHl,anonymous,EN,I consent,"Yes, I will",bird,cow|horse|bird|dog|pig,75,5,25,10,25,95,65,10,50,12,50,15,85,10,75,25,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,Making decisions about someone when you've seen them in several instances doing certain things.,specific,NA,FL_14,can_flip_air|stripes_hair|bounce_ball_head|freckles_feet|climb_fences|sleep_trees|dont_like_icecream|flap_arms_happy|hop_puddles|dont_like_mud|like_sing|eat_flowers|babies_blankets|scared_ladybugs|draw_stars_knees|chase_shadows,NA,garbage|dance|sad|opera|lion|attn_check|pond|window|banjo|maple_syrup|cave|look_left|cats|yellow|song|potatoes|clap
62c5fe55cfb1,2026-04-20 14:42:42,2026-04-20 14:46:53,IP Address,100,251,True,2026-04-20 14:46:53,R_1kOAB3l4V3Bv8Fa,anonymous,EN,I consent,"Yes, I will",bird,horse|pig|cow|dog|bird,63,10,21,13,49,4,12,3,24,48,93,41,10,13,84,37,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,No issues,Not sure.,baseline,NA,FL_24,NA,NA,dance|sad|opera|look_left|cats|pond|clap|cave|yellow|window|song|lion|banjo|attn_check|garbage|maple_syrup|potatoes
5f6152b322a4,2026-04-20 14:38:37,2026-04-20 14:46:55,IP Address,100,498,True,2026-04-20 14:46:55,R_62PA03eE8uvbWve,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|dog|cow|pig,50,11,10,20,50,95,95,15,20,75,95,95,5,60,50,20,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,How often we think a fictional group would perform an action based on previous known actions,generic,NA,FL_15,NA,hop_puddles|scared_ladybugs|eat_flowers|can_flip_air|babies_blankets|sleep_trees|dont_like_mud|climb_fences|draw_stars_knees|flap_arms_happy|like_sing|dont_like_icecream|freckles_feet|stripes_hair|bounce_ball_head|chase_shadows,sad|pond|garbage|cave|opera|clap|lion|banjo|look_left|cats|yellow|potatoes|window|attn_check|song|maple_syrup|dance
fdf4421342b2,2026-04-20 14:38:21,2026-04-20 14:47:01,IP Address,100,520,True,2026-04-20 14:47:02,R_1diuakyQprmYRNS,anonymous,EN,I consent,"Yes, I will",bird,horse|pig|bird|cow|dog,50,5,50,5,50,10,4,50,50,5,50,50,50,50,50,50,100,Answering questions about a fictional group of people,Drawing pictures of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Master's (M.A., M.S.)",no,much many things a group has in common or does the same,specific,NA,FL_14,scared_ladybugs|stripes_hair|babies_blankets|hop_puddles|sleep_trees|dont_like_mud|dont_like_icecream|like_sing|chase_shadows|eat_flowers|bounce_ball_head|climb_fences|can_flip_air|flap_arms_happy|draw_stars_knees|freckles_feet,NA,banjo|opera|sad|clap|lion|dance|cave|potatoes|garbage|song|yellow|maple_syrup|look_left|cats|window|attn_check|pond
74644bb678a8,2026-04-20 14:35:57,2026-04-20 14:47:04,IP Address,100,667,True,2026-04-20 14:47:04,R_55Rbhm6fNsiElER,anonymous,EN,I consent,"Yes, I will",bird,cow|bird|dog|horse|pig,50,50,50,50,50,50,23,50,50,50,50,50,19,50,50,50,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,none,Determining what people think of different groups of people.,generic,NA,FL_15,NA,bounce_ball_head|dont_like_icecream|eat_flowers|can_flip_air|sleep_trees|stripes_hair|dont_like_mud|babies_blankets|like_sing|chase_shadows|flap_arms_happy|freckles_feet|climb_fences|draw_stars_knees|hop_puddles|scared_ladybugs,potatoes|clap|cave|maple_syrup|dance|banjo|song|sad|lion|opera|cats|window|look_left|yellow|garbage|pond|attn_check
19a1119cc895,2026-04-20 14:41:54,2026-04-20 14:47:06,IP Address,100,312,True,2026-04-20 14:47:06,R_6FagSPlQ6zLmSV8,anonymous,EN,I consent,"Yes, I will",bird,cow|bird|pig|dog|horse,1,0,2,2,29,1,15,1,2,3,3,70,1,0,10,4,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Drawing pictures of people|Listening to songs from a fictional group of people,No,Male,NA,Hispanic or Latino/a,NA,Some college,NA,stereotypes formed off of seeing just one individual or little amounts of individuals from any given group doing something,baseline,NA,FL_24,NA,NA,pond|banjo|dance|opera|song|yellow|garbage|potatoes|lion|attn_check|maple_syrup|look_left|window|cats|cave|clap|sad
976dcb0d5ed7,2026-04-20 14:41:22,2026-04-20 14:47:07,IP Address,100,345,True,2026-04-20 14:47:07,R_3WaeGS7Fsp6IUKJ,anonymous,EN,I consent,"Yes, I will",bird,bird|dog|horse|cow|pig,6,40,19,35,10,3,23,28,35,34,7,82,26,68,21,24,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people|Drawing pictures of people,No,Male,NA,Hispanic or Latino/a,NA,Some college,NA,A group of people,baseline,NA,FL_24,NA,NA,cats|garbage|song|potatoes|banjo|maple_syrup|window|attn_check|cave|clap|pond|sad|dance|lion|yellow|look_left|opera
70b77059c019,2026-04-20 14:41:03,2026-04-20 14:47:07,IP Address,100,364,True,2026-04-20 14:47:08,R_7PbnEHRyKHooJBp,anonymous,EN,I consent,"Yes, I will",bird,dog|horse|pig|cow|bird,15,8,15,12,50,5,24,7,10,20,3,22,10,7,15,5,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Drawing pictures of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,NA,learning how people stereotype certain groups of people,specific,NA,FL_14,bounce_ball_head|eat_flowers|draw_stars_knees|dont_like_mud|dont_like_icecream|climb_fences|flap_arms_happy|like_sing|scared_ladybugs|freckles_feet|can_flip_air|babies_blankets|stripes_hair|sleep_trees|chase_shadows|hop_puddles,NA,cave|cats|look_left|lion|sad|window|yellow|maple_syrup|banjo|garbage|potatoes|opera|clap|dance|attn_check|pond|song
c7bc7edcb62e,2026-04-20 14:38:19,2026-04-20 14:47:09,IP Address,100,529,True,2026-04-20 14:47:10,R_6M0uyxqonGFUvzH,anonymous,EN,I consent,"Yes, I will",bird,cow|pig|horse|bird|dog,25,98,75,92,25,80,36,100,24,81,50,96,50,22,100,100,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,High school/GED,N/A,Preconceived notions about groups of people,generic,NA,FL_15,NA,can_flip_air|bounce_ball_head|eat_flowers|dont_like_icecream|hop_puddles|babies_blankets|dont_like_mud|flap_arms_happy|freckles_feet|chase_shadows|stripes_hair|climb_fences|sleep_trees|draw_stars_knees|like_sing|scared_ladybugs,clap|cave|dance|song|garbage|look_left|maple_syrup|opera|yellow|cats|banjo|pond|attn_check|window|potatoes|lion|sad
6b4634c203a6,2026-04-20 14:40:29,2026-04-20 14:47:10,IP Address,100,401,True,2026-04-20 14:47:11,R_18CzGXRT6RPzffQ,anonymous,EN,I consent,"Yes, I will",bird,dog|horse|bird|cow|pig,5,3,8,6,8,6,6,6,4,8,8,8,6,4,6,5,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American,South or Southeast Asian",NA,"Doctoral (Ph.D., J.D., M.D.)",None,Bias,specific,NA,FL_14,hop_puddles|bounce_ball_head|can_flip_air|dont_like_mud|draw_stars_knees|flap_arms_happy|like_sing|chase_shadows|scared_ladybugs|dont_like_icecream|stripes_hair|eat_flowers|freckles_feet|sleep_trees|climb_fences|babies_blankets,NA,potatoes|clap|look_left|opera|cave|sad|dance|maple_syrup|pond|song|lion|yellow|garbage|cats|attn_check|window|banjo
632d867e7d4d,2026-04-20 14:39:28,2026-04-20 14:47:12,IP Address,100,464,True,2026-04-20 14:47:12,R_6wLeC1Bh82kHNdC,anonymous,EN,I consent,"Yes, I will",bird,pig|cow|dog|bird|horse,4,2,8,16,52,3,2,1,3,13,7,19,4,2,7,4,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,Some college,NA,fictional worlds,specific,NA,FL_14,like_sing|dont_like_icecream|bounce_ball_head|scared_ladybugs|chase_shadows|dont_like_mud|babies_blankets|draw_stars_knees|can_flip_air|hop_puddles|climb_fences|sleep_trees|freckles_feet|stripes_hair|flap_arms_happy|eat_flowers,NA,potatoes|dance|maple_syrup|window|yellow|cats|lion|sad|opera|clap|song|banjo|cave|attn_check|pond|look_left|garbage
925124d327d2,2026-04-20 14:39:19,2026-04-20 14:47:15,IP Address,100,476,True,2026-04-20 14:47:15,R_1kn839gMOWRYFAj,anonymous,EN,I consent,"Yes, I will",bird,cow|horse|bird|pig|dog,8,5,38,3,11,1,20,10,30,15,50,42,20,33,60,75,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,"Everything was great, thank you!",Judging a group of people based upon our images we see in our head and maybe ones we relate to real life.,baseline,NA,FL_24,NA,NA,lion|yellow|maple_syrup|cats|attn_check|potatoes|opera|window|cave|banjo|clap|song|look_left|sad|dance|garbage|pond
8058ecaf41a6,2026-04-20 14:36:41,2026-04-20 14:47:17,IP Address,100,635,True,2026-04-20 14:47:17,R_5yKfTfB4m4OXWql,anonymous,EN,I consent,"Yes, I will",bird,dog|cow|pig|horse|bird,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,NA,perceptions of people in groups,generic,NA,FL_15,NA,can_flip_air|freckles_feet|flap_arms_happy|like_sing|dont_like_icecream|hop_puddles|eat_flowers|bounce_ball_head|stripes_hair|chase_shadows|babies_blankets|draw_stars_knees|scared_ladybugs|sleep_trees|dont_like_mud|climb_fences,attn_check|clap|maple_syrup|sad|yellow|window|opera|song|look_left|lion|cave|garbage|dance|pond|potatoes|cats|banjo
ced6029f25cd,2026-04-20 14:40:42,2026-04-20 14:47:21,IP Address,100,399,True,2026-04-20 14:47:22,R_7vTBhFADxbnjMU9,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|pig|bird|dog,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,East Asian,NA,"Bachelor's (B.A., B.S.)",NA,To get people's opinions on a group of people based on a few videos.,generic,NA,FL_15,NA,stripes_hair|sleep_trees|babies_blankets|climb_fences|chase_shadows|draw_stars_knees|dont_like_mud|eat_flowers|freckles_feet|scared_ladybugs|like_sing|flap_arms_happy|hop_puddles|bounce_ball_head|dont_like_icecream|can_flip_air,yellow|look_left|lion|sad|pond|cave|attn_check|dance|maple_syrup|opera|clap|banjo|potatoes|window|cats|song|garbage
b21239b7ab1d,2026-04-20 14:39:54,2026-04-20 14:47:31,IP Address,100,457,True,2026-04-20 14:47:32,R_1H7wukXt1FfLOsZ,anonymous,EN,I consent,"Yes, I will",bird,cow|bird|pig|dog|horse,1,1,10,1,50,1,1,10,1,1,50,100,1,1,10,10,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book,No,Male,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",No,"I have no clue. One of the more bizarre studies I've taken on this platform, but good luck with your research!",generic,NA,FL_15,NA,freckles_feet|stripes_hair|dont_like_mud|hop_puddles|dont_like_icecream|climb_fences|scared_ladybugs|can_flip_air|draw_stars_knees|bounce_ball_head|like_sing|chase_shadows|flap_arms_happy|sleep_trees|babies_blankets|eat_flowers,song|window|garbage|cave|lion|sad|potatoes|yellow|banjo|dance|look_left|clap|opera|attn_check|pond|cats|maple_syrup
cde073fd8773,2026-04-20 14:37:57,2026-04-20 14:47:33,IP Address,100,575,True,2026-04-20 14:47:33,R_3bTX2fAaqAkrPKV,anonymous,EN,I consent,"Yes, I will",bird,horse|dog|cow|bird|pig,72,41,91,42,32,43,42,40,40,26,36,79,9,1,95,97,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,"White, Caucasian, or European American",NA,Some college,NA,How I perceive a specific group of people with a completely different culture from mine.,generic,NA,FL_15,NA,babies_blankets|stripes_hair|flap_arms_happy|freckles_feet|can_flip_air|sleep_trees|dont_like_mud|scared_ladybugs|like_sing|draw_stars_knees|chase_shadows|bounce_ball_head|hop_puddles|dont_like_icecream|eat_flowers|climb_fences,cats|look_left|lion|song|sad|pond|banjo|cave|dance|attn_check|maple_syrup|potatoes|opera|garbage|window|clap|yellow
c765602a69af,2026-04-20 14:39:50,2026-04-20 14:47:34,IP Address,100,463,True,2026-04-20 14:47:34,R_7t7T8pe8limwg81,anonymous,EN,I consent,"Yes, I will",bird,cow|pig|bird|horse|dog,2,1,25,15,50,4,4,10,25,30,10,51,24,3,25,1,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people,No,Male,NA,Hispanic or Latino/a,NA,"Master's (M.A., M.S.)",No,About perception of what's considered strange behavior,specific,NA,FL_14,chase_shadows|like_sing|flap_arms_happy|bounce_ball_head|eat_flowers|freckles_feet|can_flip_air|draw_stars_knees|scared_ladybugs|dont_like_mud|hop_puddles|climb_fences|stripes_hair|babies_blankets|sleep_trees|dont_like_icecream,NA,pond|window|sad|song|attn_check|look_left|maple_syrup|potatoes|clap|dance|opera|banjo|cats|cave|yellow|garbage|lion
510f969e1194,2026-04-20 14:37:23,2026-04-20 14:47:34,IP Address,100,610,True,2026-04-20 14:47:34,R_61jpdjWIpt1xknh,anonymous,EN,I consent,"Yes, I will",bird,dog|pig|bird|horse|cow,2,5,9,3,24,4,14,2,5,8,37,20,4,2,7,10,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",None,Perceptions of how likely people think a given action is,baseline,NA,FL_24,NA,NA,cats|yellow|lion|garbage|clap|banjo|cave|song|dance|sad|pond|attn_check|window|potatoes|look_left|opera|maple_syrup
52615159f47f,2026-04-20 14:40:14,2026-04-20 14:47:35,IP Address,100,440,True,2026-04-20 14:47:35,R_56fKZyq1cc1MIsn,anonymous,EN,I consent,"Yes, I will",bird,pig|horse|bird|dog|cow,11,16,64,33,6,24,78,42,1,25,88,82,2,2,71,35,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,NA,specific,NA,FL_14,scared_ladybugs|stripes_hair|dont_like_mud|eat_flowers|freckles_feet|babies_blankets|chase_shadows|can_flip_air|like_sing|bounce_ball_head|climb_fences|draw_stars_knees|sleep_trees|flap_arms_happy|dont_like_icecream|hop_puddles,NA,clap|window|banjo|song|yellow|cats|sad|maple_syrup|attn_check|garbage|potatoes|pond|look_left|opera|dance|cave|lion
128faf84057c,2026-04-20 14:40:15,2026-04-20 14:47:46,IP Address,100,451,True,2026-04-20 14:47:47,R_72XhBuqRZg9XXRT,anonymous,EN,I consent,"Yes, I will",bird,cow|bird|dog|horse|pig,11,0,30,21,50,0,15,16,25,25,0,50,15,0,11,0,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Female,NA,South or Southeast Asian,NA,"Doctoral (Ph.D., J.D., M.D.)",None,No idea,specific,NA,FL_14,can_flip_air|draw_stars_knees|eat_flowers|scared_ladybugs|flap_arms_happy|hop_puddles|dont_like_icecream|freckles_feet|sleep_trees|dont_like_mud|babies_blankets|stripes_hair|climb_fences|bounce_ball_head|chase_shadows|like_sing,NA,opera|garbage|clap|sad|dance|song|potatoes|maple_syrup|lion|cave|yellow|look_left|attn_check|cats|window|banjo|pond
cb98c0fca691,2026-04-20 14:38:35,2026-04-20 14:47:53,IP Address,100,558,True,2026-04-20 14:47:53,R_3gNNUoYNEJNXgkw,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|bird|dog|pig,10,25,10,20,1,25,50,15,1,50,75,75,5,0,50,0,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,Black or African American,NA,High school/GED,Were the hypothetical questions related to the hypothetical facts we learned about the people beforehand? I was confused as to whether that should have been taken into account,Hypothetical Situations,generic,NA,FL_15,NA,bounce_ball_head|hop_puddles|can_flip_air|flap_arms_happy|babies_blankets|eat_flowers|dont_like_mud|freckles_feet|stripes_hair|draw_stars_knees|scared_ladybugs|chase_shadows|sleep_trees|like_sing|climb_fences|dont_like_icecream,pond|clap|yellow|garbage|opera|song|attn_check|cave|lion|maple_syrup|window|look_left|cats|banjo|sad|dance|potatoes
eea67cde2edf,2026-04-20 14:41:05,2026-04-20 14:47:56,IP Address,100,410,True,2026-04-20 14:47:57,R_7AYWh7X0g93x8ra,anonymous,EN,I consent,"Yes, I will",bird,horse|pig|dog|bird|cow,12,0,10,18,4,36,3,1,1,10,92,22,2,2,41,30,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Female,NA,South or Southeast Asian,NA,"Bachelor's (B.A., B.S.)",NA,Judgment of a group of people/strereotype bias,specific,NA,FL_14,like_sing|babies_blankets|can_flip_air|chase_shadows|freckles_feet|bounce_ball_head|scared_ladybugs|dont_like_mud|dont_like_icecream|sleep_trees|climb_fences|flap_arms_happy|stripes_hair|eat_flowers|draw_stars_knees|hop_puddles,NA,potatoes|window|attn_check|look_left|banjo|song|sad|clap|cave|lion|dance|cats|garbage|opera|maple_syrup|pond|yellow
c1d8ce5a21e2,2026-04-20 14:41:04,2026-04-20 14:47:57,IP Address,100,413,True,2026-04-20 14:47:57,R_6UgROosXo7pgJUi,anonymous,EN,I consent,"Yes, I will",bird,horse|pig|bird|cow|dog,35,35,45,32,41,60,23,31,12,45,58,25,10,23,55,20,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Male,NA,South or Southeast Asian,NA,"Bachelor's (B.A., B.S.)",none,answering questions about fictional people,baseline,NA,FL_24,NA,NA,opera|sad|window|song|pond|garbage|dance|lion|attn_check|banjo|cave|yellow|look_left|cats|maple_syrup|clap|potatoes
e654f1fc97d7,2026-04-20 14:43:48,2026-04-20 14:48:07,IP Address,100,258,True,2026-04-20 14:48:08,R_1s5Nc4DbdfPSs1x,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|pig|dog|cow,25,78,75,50,40,52,33,5,85,35,40,50,15,69,68,62,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Female,NA,Hispanic or Latino/a,NA,Some college,no.,to see what we would choose.,baseline,NA,FL_24,NA,NA,potatoes|opera|window|maple_syrup|banjo|sad|cave|look_left|yellow|lion|song|clap|attn_check|pond|garbage|cats|dance
8c2f2d2a3f3a,2026-04-20 14:41:24,2026-04-20 14:48:08,IP Address,100,404,True,2026-04-20 14:48:08,R_1zNFNHaCI4zccnt,anonymous,EN,I consent,"Yes, I will",bird,cow|pig|horse|dog|bird,1,0,11,33,68,2,39,26,5,3,13,19,2,24,9,45,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people,No,Female,NA,Black or African American,NA,Some college,no,interesting,baseline,NA,FL_24,NA,NA,dance|sad|attn_check|garbage|cats|potatoes|yellow|banjo|opera|maple_syrup|cave|clap|lion|pond|window|song|look_left
